Timestamp,Container,CPU,MemUsage,MemPerc
1769446706,java-bench,50.03%,2.121GB / 12.21GB,17.37%
1769446706,python-bench,49.88%,221.8MB / 12.21GB,1.82%
1769446707,go-bench,35.55%,138.5MB / 12.21GB,1.13%
1769446707,java-bench,49.86%,2.121GB / 12.21GB,17.37%
1769446707,python-bench,50.81%,222.5MB / 12.21GB,1.82%
1769446709,go-bench,35.42%,138.5MB / 12.21GB,1.13%
1769446709,java-bench,49.68%,2.121GB / 12.21GB,17.37%
1769446709,python-bench,51.90%,223.5MB / 12.21GB,1.83%
1769446710,go-bench,35.28%,138.5MB / 12.21GB,1.13%
1769446710,java-bench,49.49%,2.121GB / 12.21GB,17.37%
1769446710,python-bench,52.96%,224.1MB / 12.21GB,1.84%
1769446711,go-bench,35.15%,138.5MB / 12.21GB,1.13%
1769446711,java-bench,49.32%,2.121GB / 12.21GB,17.37%
1769446711,python-bench,53.99%,224.1MB / 12.21GB,1.84%
1769446712,go-bench,35.03%,138.5MB / 12.21GB,1.13%
1769446712,java-bench,49.15%,2.121GB / 12.21GB,17.37%
1769446712,python-bench,54.93%,224.1MB / 12.21GB,1.84%
1769446713,go-bench,34.91%,138.5MB / 12.21GB,1.13%
1769446713,java-bench,48.98%,2.121GB / 12.21GB,17.37%
1769446713,python-bench,55.85%,224.1MB / 12.21GB,1.84%
1769446715,go-bench,34.79%,138.5MB / 12.21GB,1.13%
1769446715,java-bench,48.82%,2.121GB / 12.21GB,17.37%
1769446715,python-bench,56.51%,224.1MB / 12.21GB,1.84%
1769446716,go-bench,34.68%,138.5MB / 12.21GB,1.13%
1769446716,java-bench,48.67%,2.121GB / 12.21GB,17.37%
1769446716,python-bench,56.35%,224.1MB / 12.21GB,1.84%
1769446717,go-bench,34.57%,138.5MB / 12.21GB,1.13%
1769446717,java-bench,48.51%,2.121GB / 12.21GB,17.37%
1769446717,python-bench,56.19%,224.1MB / 12.21GB,1.84%
